Sum of Value,Column Labels,,,,,,,,,,,,
Row Labels,Bus Passengers,Buses,Pedestrians,Personal Vehicle Passengers,Personal Vehicles,Rail Containers Empty,Rail Containers Loaded,Train Passengers,Trains,Truck Containers Empty,Truck Containers Loaded,Trucks,Grand Total
US-Canada Border,234546,10605,24134,6327011,2699899,29515,106008,15255,2891,73503,489481,594737,10607585
Alaska,240,48,17,7246,3946,0,0,0,0,285,623,797,13202
Alcan,52,15,0,3156,1986,0,0,0,0,53,497,497,6256
Dalton Cache,60,19,17,1391,681,0,0,0,0,37,55,92,2352
Skagway,128,14,0,2699,1279,0,0,0,0,195,71,208,4594
Idaho,1333,48,201,32001,15251,211,3300,189,63,139,4058,5563,62357
Eastport,732,25,185,13959,5228,211,3300,189,63,125,3462,4828,32307
Porthill,601,23,16,18042,10023,0,0,0,0,14,596,735,30050
Maine,2007,71,6896,608379,288980,3171,2875,357,170,5099,29185,41183,988373
Bridgewater,14,1,0,18408,6211,0,0,0,0,126,854,1021,26635
Calais,693,22,4103,226382,102901,296,50,0,19,752,9391,10143,354752
Fort Fairfield,0,0,0,37061,14780,0,0,0,0,173,1702,2043,55759
Fort Kent,13,1,1240,55401,29316,0,0,0,0,104,204,1191,87470
Houlton,375,11,18,63159,23795,0,0,0,0,741,9196,10641,107936
Jackman,683,20,138,23527,13963,1572,1413,183,77,875,4501,10466,57418
Limestone,79,2,0,7312,3704,0,0,0,0,24,293,326,11740
Madawaska,112,3,1077,115520,64177,0,0,0,0,1085,1411,2514,185899
Portland,0,0,0,0,0,0,0,0,0,0,0,0,0
Van Buren,11,1,319,55687,27152,219,140,78,26,1198,1036,2224,88091
Vanceboro,27,10,1,5922,2981,1084,1272,96,48,21,597,614,12673
Michigan,60065,3721,0,2297327,967270,12273,39136,3995,796,26482,182721,235571,3829357
Detroit,45897,2915,0,1604754,720340,5217,18968,1080,360,20311,143017,159265,2722124
Port Huron,7420,188,0,363152,143123,7056,20168,2732,375,6171,39704,70161,660250
Sault Sainte Marie,6748,618,0,329421,103807,0,0,183,61,0,0,6145,446983
Minnesota,8906,375,1521,214353,79839,3740,18565,1534,742,2460,6301,9634,347970
Baudette,554,58,53,34195,14248,0,0,366,183,151,374,519,50701
Grand Portage,3442,134,0,50673,16891,0,0,0,0,994,1977,3178,77289
International Falls,830,20,1466,94687,33817,2292,14278,574,287,923,2052,3100,154326
Noyes,930,21,0,6886,2342,1448,4287,252,101,42,47,472,16828
Pinecreek,0,0,0,1208,528,0,0,0,0,0,0,20,1756
Roseau,132,3,0,7369,2729,0,0,0,0,109,730,798,11870
Warroad,3018,139,2,19335,9284,0,0,342,171,241,1121,1547,35200
Montana,2676,117,1073,93595,29328,409,1679,87,29,1651,15456,15000,161100
Del Bonita,0,0,18,6156,1871,0,0,0,0,0,42,39,8126
Morgan,35,4,0,1981,268,0,0,0,0,2,179,175,2644
Opheim,0,0,0,0,0,0,0,0,0,0,0,0,0
Piegan,46,8,1,15053,5051,0,0,0,0,14,112,117,20402
Raymond,216,14,0,5430,1975,0,0,0,0,55,1500,1245,10435
Roosville,681,24,39,16258,5841,0,0,0,0,216,3000,3263,29322
Scobey,0,0,0,0,0,0,0,0,0,0,0,0,0
Sweetgrass,1698,67,1015,46887,13531,409,1679,87,29,1363,10596,10120,87481
Turner,0,0,0,1013,417,0,0,0,0,1,27,27,1485
Whitetail,0,0,0,817,374,0,0,0,0,0,0,14,1205
Whitlash,0,0,0,0,0,0,0,0,0,0,0,0,0
New York,98414,3959,7269,1694399,711478,4698,23493,5481,619,19092,170148,171012,2910062
Alexandria Bay,3305,98,0,100551,37241,0,0,0,0,860,19085,22012,183152
Buffalo Niagara Falls,72670,3026,7047,1117462,503557,2940,17795,3266,397,14868,108307,106692,1958027
Champlain Rouses Point,16293,558,187,164142,54712,1758,5698,2002,151,2842,38764,33097,320204
Massena,5502,254,11,239856,88232,0,0,0,0,112,2310,5416,341693
Ogdensburg,538,21,0,42637,15578,0,0,0,0,319,1491,2412,62996
Trout River,106,2,24,29751,12158,0,0,213,71,91,191,1383,43990
North Dakota,10607,244,968,104864,42966,2741,7742,387,129,4145,22866,28316,225975
Ambrose,0,0,0,1328,564,0,0,0,0,0,3,7,1902
Antler,0,0,0,1578,762,0,0,0,0,8,18,30,2396
Carbury,0,0,0,2113,1003,0,0,0,0,0,91,110,3317
Dunseith,425,13,0,7849,3498,0,0,0,0,132,1784,1955,15656
Fortuna,715,15,0,1135,498,0,0,0,0,0,0,21,2384
Hannah,0,0,0,1256,773,0,0,0,0,2,5,8,2044
Hansboro,85,2,0,1978,1015,0,0,0,0,16,77,100,3273
Maida,0,0,0,2380,1022,0,0,0,0,0,0,87,3489
Neche,0,0,0,7253,3552,0,0,0,0,483,424,908,12620
Noonan,56,1,0,4592,2827,0,0,0,0,8,26,69,7579
Northgate,40,1,0,1697,1084,0,0,0,0,28,277,303,3430
Pembina,8211,180,11,46311,15437,36,251,0,0,2274,14635,17649,104995
Portal,825,22,957,12765,5106,2705,7491,387,129,960,4807,5764,41918
Sarles,0,0,0,879,436,0,0,0,0,12,36,48,1411
Sherwood,35,1,0,2063,1104,0,0,0,0,0,0,177,3380
St John,173,7,0,3886,1780,0,0,0,0,0,20,57,5923
Walhalla,0,0,0,4372,1914,0,0,0,0,113,358,558,7315
Westhope,42,2,0,1429,591,0,0,0,0,109,305,465,2943
Vermont,14341,481,1484,201462,92964,962,3037,257,114,409,13316,26490,355317
Beecher Falls,156,4,0,12020,7317,0,0,0,0,0,0,2484,21981
Derby Line,4375,116,1413,108483,44275,0,0,0,0,159,1364,10362,170547
Highgate Springs,9716,358,10,54667,26511,172,1183,62,31,139,9997,10383,113229
Norton,94,3,19,8574,5427,790,1854,114,56,111,1955,2131,21128
Richford,0,0,42,17718,9434,0,0,81,27,0,0,1130,28432
Washington,35957,1541,4705,1073385,467877,1310,6181,2968,229,13741,44807,61171,1713872
Blaine,27641,1217,820,647664,267954,1090,4776,2473,95,9824,30050,39675,1033279
Boundary,0,0,0,5370,2968,0,0,0,0,0,0,0,8338
Danville,0,0,0,0,0,0,0,0,0,0,0,0,0
Ferry,117,9,25,2150,1094,0,0,0,0,0,0,196,3591
Frontier,643,28,0,8353,3649,0,0,54,18,0,0,1778,14523
Laurier,516,13,19,6129,3271,31,404,69,23,53,925,980,12433
Lynden,241,8,0,102905,47422,0,0,0,0,1482,2314,3784,158156
Metaline Falls,20,3,2,4842,1945,0,0,0,0,100,280,378,7570
Nighthawk,15,1,34,1063,559,0,0,0,0,0,0,0,1672
Oroville,1908,50,122,37478,18048,0,0,0,0,252,2968,3368,64194
Point Roberts,1660,101,759,109092,60607,0,0,0,0,0,0,731,172950
Sumas,3196,111,2924,148339,60360,189,1001,372,93,2030,8270,10281,237166
US-Mexico Border,317374,24582,4631886,20813291,7693763,18940,18701,1768,521,179422,219800,408162,34328210
Arizona,8964,659,820258,2220533,852638,1295,2150,0,53,8089,28937,38720,3982296
Douglas,310,310,62906,508085,184758,0,0,0,0,1466,1324,2965,762124
Lukeville,2808,72,6512,159352,58158,0,0,0,0,13,26,427,227368
Naco,0,0,5678,68062,26178,0,0,0,0,165,665,810,101558
Nogales,5746,275,418265,887492,344657,1295,2150,0,53,5161,24135,29296,1718525
San Luis,100,2,326645,589118,235647,0,0,0,0,1187,2691,5030,1160420
Sasabe,0,0,252,8424,3240,0,0,0,0,97,96,192,12301
California,96766,12776,1652443,6370081,2600543,715,200,1286,49,42124,44475,87915,10909373
Andrade,773,21,260755,187296,62851,0,0,0,0,93,117,232,512138
Calexico,499,47,722134,1848806,620405,0,0,0,0,0,0,0,3191891
Calexico East,889,77,2078,420606,141143,455,136,161,23,10759,12484,23662,612473
Otay Mesa,19271,3799,60874,877177,398717,260,64,44,22,28512,28742,58165,1475647
San Ysidro,74572,8808,582152,2772662,1260301,0,0,0,0,0,0,0,4698495
Tecate,762,24,24450,263534,117126,0,0,1081,4,2760,3132,5856,418729
New Mexico,6,4,15239,58205,38600,0,0,0,0,843,1926,2858,117681
Columbus,0,0,14703,46922,31078,0,0,0,0,97,103,202,93105
Santa Teresa,6,4,536,11283,7522,0,0,0,0,746,1823,2656,24576
Texas,211638,11143,2143946,12164472,4201982,16930,16351,482,419,128366,144462,278669,19318860
Brownsville,24450,978,407169,1529973,611989,3802,1146,0,50,14103,11434,28238,2633332
Del Rio,598,598,20481,517108,178313,0,0,0,0,1733,3340,5128,727299
Eagle Pass,348,348,61878,628663,251465,3522,3223,476,119,4018,5366,9384,968810
El Paso,12435,634,470516,4099560,1413641,2738,952,0,54,26482,31825,59939,6118776
Hidalgo,130413,5524,251180,2549278,728365,0,0,0,0,9336,21963,32779,3728838
Laredo,29731,2515,667738,1506423,602569,6868,11030,0,196,70116,67517,137441,3102144
Presidio,340,34,1623,171383,62321,0,0,6,0,427,510,937,237581
Progreso,2713,75,206168,346642,111820,0,0,0,0,1162,262,1424,670266
Rio Grande City,0,0,10638,218323,62378,0,0,0,0,455,1379,1908,295081
Roma,10610,437,45037,408234,116638,0,0,0,0,534,866,1467,583823
Tornillo,0,0,1518,188885,62483,0,0,0,0,0,0,24,252910
Grand Total,551920,35187,4656020,27140302,10393662,48455,124709,17023,3412,252925,709281,1002899,44935795
